,country,description,points,price,winery,variety,title
651,France,"Subtle notes of clean, fresh lemon zest promise pleasure, the palate reveals a far riper aspect of fresh red apple and baked apples. The dry palate remains zingy and clean and provides ample textured freshness. The effect is that of fresh apple sorbet.",92,39.0,Kuentz-Bas,Riesling,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling (Alsace)
652,Australia,"Based on this example and a few other informal tastings, 2014 will be a top vintage for Rieslings from Western Australia. Aromas of lime sherbet and wet stone lead into a crisply focused palate loaded with citrusy tartness that lingers on the mouthwatering finish. Drink now with shellfish, and consider holding some for up to 10 years.",92,21.0,Plantagenet,Riesling,Plantagenet 2014 Riesling (Great Southern)
653,US,"Reserved red-cherry fruit aromas gain complexity with fog-soaked sagebrush, dried purple flowers and an earthy mushroom character on the nose. Roasted shiitake, marjoram, crushed Brazil nuts and a hint of cardamom play on the dark, spicy, earthy palate, laid across a bed of cranberry fruit.",92,35.0,Scratch,Grenache,Scratch 2013 Grenache (Arroyo Seco)
654,France,"Freshly cut red, yellow and green apples make both nose and palate very fruity. The dry palate with its lemony freshness and open aspect lets all the apple flavors shine and inflects them here and there with baked and dried apple, too. Wonderfully fruity and pure.",92,43.0,Sipp Mack,Riesling,Sipp Mack 2014 Rosacker Grand Cru Riesling (Alsace)
655,US,"This is one of the best balanced and most elegant Zins around. Very fresh in aroma, it's slightly yeasty like freshly fermented wine, and with subtly gorgeous cherry and blackberry flavors layered with light cedar and cocoa spiciness. Not only is the finish lingering, but the wine still tasted great two days after pulling the cork.",92,30.0,St. Amant,Zinfandel,St. Amant 2013 Lodi Native Marian's Vineyard Zinfandel (Mokelumne River)
656,US,"This cuvée is made with the oldest Pommard clones in the estate vineyard. It's a sharp-edged, reserve-level wine with a defining streak of peppery herb. The black fruits and barrel flavors of licorice, espresso and dark chocolate promise further depth as it ages. Drink 2020–2030.",92,70.0,Stoller,Pinot Noir,Stoller 2013 Nancy's Pinot Noir (Dundee Hills)
657,South Africa,"The 2011 Night Sky shows more earthy character than the 2012, as upfront aromas of soil, blackberry leaf and pepper are grounded by ripe fruit tones of black currant, plum and mulberry. Medium weight on the palate, with velvety tannins that grip through the long, spicy finish. The dense, tight mouthfeel, firm structure and overall balance suggest this wine will age well through 2022.",92,50.0,Fable Mountain,Rhône-style Red Blend,Fable Mountain 2011 Night Sky Red (Coastal Region)
658,US,"This full-bodied wine has a voluptuous entry that's slightly tropical in pineapple and Asian pear, as well as vanilla-layered oak. The expansive beginning segues smoothly into a higher-wire act of minerality, finishing fleshy and fresh.",90,40.0,Vine Cliff,Chardonnay,Vine Cliff 2013 Chardonnay (Los Carneros)
659,US,"This wine brings aromas of blackberry, dates and spice. The palate displays abundant cherry flavors with lightly chalky tannins.",90,45.0,Va Piano,Cabernet Sauvignon,Va Piano 2012 Cabernet Sauvignon (Walla Walla Valley (WA))
660,US,"Syrupy thick at first, decadent enough for a king, this rich red is defined by vanilla French toast and blackberry jam aromas and flavors. It finds balance midway through on the palate, veering into crisper red tones of cranberry and rhubarb. Time will help mellow things out. Cellar through 2020.",90,80.0,Y Rousseau,Cabernet Sauvignon,Y Rousseau 2012 Le Roi Soleil Cabernet Sauvignon (Mount Veeder)
661,US,"Livelier than usual in texture and popping with bright citrus aromas and flavors, this light-bodied and barrel-fermented wine is a great palate-cleanser and will pair beautifully with dishes like raw oysters and herbed goat cheese. It smells and tastes like lemon, lime, green apple and kiwi, and has great balance.",90,15.0,Monte Volpe,Pinot Grigio,Monte Volpe 2013 Pinot Grigio (Mendocino)
662,Italy,"Aromas of red berry, rose and cake spices lead the way on this ripe, forward Barolo. The round palate offers black cherry, raspberry, licorice and white pepper alongside polished tannins. It's already extremely accessible, so don't leave it in the cellar for too long. Drink 2016–2021.",90,65.0,Palladino,Nebbiolo,Palladino 2011 Ornato  (Barolo)
663,US,"Ripe black cherry and vanilla swirl around notes of cedar and dusty tannins, combining seamlessly on the palate. From an appellation not known for the variety, it does justice to mountain fruit and power, finishing with substance.",90,65.0,Paradise Ridge,Cabernet Sauvignon,Paradise Ridge 2012 Rockpile Vineyard Cabernet Sauvignon (Rockpile)
664,Italy,"This structured Dolcetto offers aromas of blue- and black-skinned fruit, violet, chopped herbs and kitchen spices. The vibrant palate delivers black cherry, black currant, clove, tobacco and anise while firm, refined tannins provide the framework.",90,35.0,Pecchenino,Dolcetto,Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore)
665,Italy,"Fruity aromas of mature berry mingle with notes of dark cooking spice and chopped herbs on this savory, medium-bodied red. The round, concentrated palate offers juicy black cherry, crushed raspberry, clove and tobacco framed in firm acidity and a velvety texture.",90,25.0,Poderi Colla,Barbera,Poderi Colla 2013 Costa Bruna  (Barbera d'Alba)
666,US,"This warm-vintage wine is more aromatically reticent than recent vintages, with notes of stone fruit, slate and mineral. It drinks a hair off dry, with depth to the lightly spritzy fruit flavors and razor-sharp acidity.",90,20.0,Poet's Leap,Riesling,Poet's Leap 2014 Riesling (Columbia Valley (WA))
667,Spain,"Perfumed plum and raspberry aromas are slightly earthy and leathery. This is medium-to-full in body, with smooth, chunky tannins. Earthy, lightly baked plum and wild-berry flavors finish loamy and expansive. Drink through 2017.",90,15.0,Rafael Cambra,Garnacha Tintorera,Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia)
668,US,"While dry in style, this lithe, delicately framed Riesling packs a punch of ripe, rich tropical fruit. It's blossomy and buoyantly fruity, yet brashly mineral as well. Made using “virgin berries”, uniquely seedless grapes with a tendency towards exuberant aroma and flavor concentration.",90,26.0,Raphael,Riesling,Raphael 2014 Virgin Berry Riesling (North Fork of Long Island)
669,US,"All varietal, this wine offers unique aromas of toast, fig, dried herb and exotic spice. The purple fruit flavors are deft in style with a pleasing sense of balance, length and texture.",90,30.0,Seven Hills,Malbec,Seven Hills 2013 McClellan Estate Vineyard Malbec (Walla Walla Valley (WA))
670,US,"Dark berry, herb and fig aromas lead to dense, full and palate-coating dark fruit flavors. It checks all the boxes for varietal correctness, concentration and value.",90,13.0,Snoqualmie,Cabernet Sauvignon,Snoqualmie 2013 Eco Made with Organic Grapes Cabernet Sauvignon (Columbia Valley (WA))
671,US,"The winery's larger bottling of the variety, one it has mastered for decades, this wine is a mix of baked plum and rustic leather notes. It's softly tannic, with pronounced jolts of tobacco and black pepper. With small amounts of other Rhône varieties, from Syrah to Viognier, it meanders to the finish, with a distinct trace of minerality.",90,45.0,Stags' Leap Winery,Petite Sirah,Stags' Leap Winery 2012 Petite Sirah (Napa Valley)
672,US,"Similarly to it's Virgin Berry sibling, Roth's regular label Dry Riesling has a distinctly green, woodsy tone lending an alpine feel to sweet-tart peach and apricot flavors. It's brisk and fine-footed, yet zesty tangerine and grapefruit acidity persist long on the finish.",90,26.0,The Grapes of Roth,Riesling,The Grapes of Roth 2014 Dry Riesling (Long Island)
673,US,"This is a full-bodied and full-flavored wine with rich and deep aromas, ripe fruit flavors and a texture that feels substantial but polished. It starts with black cherry and woodsy aromas, then goes to lively but broad cherry, plum and nutmeg notes. The finish stays flavorful and dry.",90,44.0,The Withers Winery,Pinot Noir,The Withers Winery 2013 Charles Vineyard Pinot Noir (Anderson Valley)
674,US,"From a knoll in Carneros, oft thought of as chilly for Cabernet, this wine exhibits cooler aspects of the variety, from pencil lead and cedar to dried herb. It is complemented by fruitier characteristics of cassis and plum, finishing in dusty, structured tannins. Cellar through 2017–2020.",90,38.0,Truchard,Cabernet Sauvignon,Truchard 2012 Estate Cabernet Sauvignon (Carneros)
675,US,"Smoky cinnamon and nutmeg pierce the entry of this wine, a dense, full-bodied expression of place. Layers of rich cherry and strawberry lie over classic varietal earthiness, finishing medium in length.",90,28.0,Acacia,Pinot Noir,Acacia 2013 Pinot Noir (Carneros)
676,US,"Otis Harlan Vineyard in the Rattlesnake Hills provides the fruit for this wine. Distinctive aromas of lees, almond, toast and grass lead to creamy stone-fruit flavors that show persistence on the finish.",90,32.0,Array,Chardonnay,Array 2012 Dijon Clone Chardonnay (Yakima Valley)
677,Italy,"Full-bodied and concentrated, this opens with aromas of crushed black plum, spicy blueberry, vanilla and dried sage. The dense, warm palate delivers dried black cherry, blackberry extract, oak and black pepper alongside velvety tannins. The soft acidity shows the heat of the vintage, so enjoy soon.",90,50.0,Baracchi Riccardo,Syrah,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona)
678,Italy,"Aromas of dark-skinned fruit, cedar and allspice lead the nose on this smooth, full-bodied red. The structured palate doles out mature black currant, black cherry, peppercorn and espresso that follow through to the finish. Soft acidity and ripe, firm tannins provide the framework. Drink 2016–2022.",90,35.0,Baracchi Riccardo,Syrah,Baracchi Riccardo 2012 Smeriglio Syrah (Cortona)
679,US,"Brooding aromas of barrel spice, black cherry, coffee bean and herb lead to tart, focused fruit and barrel flavors that linger.",90,35.0,Barrister,Cabernet Sauvignon,Barrister 2012 Sagemoor Cabernet Sauvignon (Columbia Valley (WA))
680,Spain,"Plum, prune and raspberry aromas are solid. This shows a bright, juicy palate along with traditional Rioja flavors of vanilla, tobacco, savory oak and dried red-berry fruits. Drink through 2018.",90,25.0,Bodegas Berceo,Tempranillo Blend,Bodegas Berceo 2011 Selección Crianza  (Rioja)
681,US,"All Syrah, this blend of Yakima Valley and Wahluke Slope fruit offers aromas and flavors of cocoa, vanilla, pepper and dark cherry. The pleasing interplay of fruit and barrel comes with a soft, pillowy feel.",90,42.0,Bunnell,Syrah,Bunnell 2011 ALX Syrah (Columbia Valley (WA))
682,Italy,"Made entirely with Pinot Nero, this elegant sparkler offers aromas of rose and red berry. The vibrant, focused palate delivers cherry, strawberry and a hint of cake spices alongside bright acidity and an elegant perlage.",90,45.0,Castello di Neive,Pinot Nero,Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte)
683,Italy,"Aromas of underbrush, charred earth and a hint of cedar lead the nose on this blend of Cabernet Sauvignon and 10% Merlot. The extracted palate delivers mature black currant, dried blackberry, espresso and black pepper alongside dusty tannins.",90,70.0,Castello di Querceto,Red Blend,Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale)
684,US,"This wine is aromatically reserved with notes of milk chocolate, char, berry, barrel spices and high-toned herbs. It's silky and polished in feel, with richness and elegance to the coffee flavors.",90,30.0,Chateau Ste. Michelle,Cabernet Sauvignon,Chateau Ste. Michelle 2012 Canoe Ridge Vineyard Cabernet Sauvignon (Horse Heaven Hills)
